id,spoilerType
0,phrase
1,passage
2,phrase
3,passage
4,phrase
5,phrase
6,multi
7,passage
8,phrase
9,passage
10,phrase
11,phrase
12,phrase
13,phrase
14,passage
15,passage
16,phrase
17,passage
18,multi
19,phrase
20,phrase
21,passage
22,passage
23,phrase
24,passage
25,passage
26,passage
27,phrase
28,passage
29,passage
30,passage
31,passage
32,passage
33,passage
34,phrase
35,phrase
36,phrase
37,phrase
38,multi
39,phrase
40,phrase
41,passage
42,phrase
43,passage
44,phrase
45,phrase
46,phrase
47,multi
48,phrase
49,multi
50,phrase
51,passage
52,passage
53,multi
54,phrase
55,passage
56,phrase
57,multi
58,passage
59,phrase
60,passage
61,passage
62,phrase
63,phrase
64,passage
65,phrase
66,passage
67,phrase
68,phrase
69,phrase
70,passage
71,phrase
72,multi
73,multi
74,passage
75,multi
76,phrase
77,multi
78,phrase
79,passage
80,passage
81,passage
82,phrase
83,phrase
84,passage
85,passage
86,phrase
87,phrase
88,passage
89,passage
90,passage
91,multi
92,phrase
93,passage
94,passage
95,phrase
96,passage
97,phrase
98,passage
99,passage
100,multi
101,multi
102,multi
103,phrase
104,passage
105,passage
106,phrase
107,phrase
108,passage
109,phrase
110,passage
111,passage
112,passage
113,passage
114,phrase
115,passage
116,phrase
117,phrase
118,passage
119,multi
120,passage
121,phrase
122,phrase
123,passage
124,passage
125,phrase
126,passage
127,passage
128,passage
129,phrase
130,passage
131,passage
132,passage
133,passage
134,passage
135,phrase
136,passage
137,phrase
138,phrase
139,passage
140,phrase
141,phrase
142,multi
143,passage
144,phrase
145,passage
146,passage
147,passage
148,phrase
149,phrase
150,passage
151,phrase
152,phrase
153,multi
154,phrase
155,phrase
156,multi
157,phrase
158,multi
159,phrase
160,phrase
161,multi
162,passage
163,multi
164,phrase
165,phrase
166,passage
167,phrase
168,passage
169,phrase
170,phrase
171,phrase
172,phrase
173,passage
174,phrase
175,phrase
176,passage
177,passage
178,phrase
179,phrase
180,phrase
181,phrase
182,passage
183,phrase
184,phrase
185,passage
186,multi
187,phrase
188,multi
189,passage
190,multi
191,phrase
192,phrase
193,phrase
194,passage
195,passage
196,phrase
197,phrase
198,phrase
199,phrase
200,passage
201,multi
202,passage
203,passage
204,phrase
205,phrase
206,phrase
207,passage
208,phrase
209,phrase
210,multi
211,phrase
212,passage
213,passage
214,passage
215,passage
216,phrase
217,phrase
218,phrase
219,phrase
220,passage
221,passage
222,passage
223,phrase
224,phrase
225,passage
226,phrase
227,phrase
228,phrase
229,passage
230,passage
231,phrase
232,phrase
233,multi
234,passage
235,multi
236,passage
237,passage
238,passage
239,passage
240,passage
241,passage
242,phrase
243,passage
244,passage
245,phrase
246,phrase
247,passage
248,passage
249,passage
250,passage
251,phrase
252,passage
253,passage
254,passage
255,passage
256,phrase
257,phrase
258,passage
259,multi
260,passage
261,phrase
262,phrase
263,phrase
264,passage
265,phrase
266,phrase
267,passage
268,passage
269,phrase
270,phrase
271,passage
272,passage
273,phrase
274,passage
275,phrase
276,phrase
277,passage
278,passage
279,phrase
280,phrase
281,multi
282,passage
283,multi
284,phrase
285,passage
286,passage
287,passage
288,phrase
289,phrase
290,multi
291,phrase
292,multi
293,phrase
294,multi
295,phrase
296,phrase
297,phrase
298,phrase
299,passage
300,passage
301,phrase
302,multi
303,multi
304,passage
305,phrase
306,phrase
307,passage
308,phrase
309,passage
310,phrase
311,passage
312,phrase
313,passage
314,phrase
315,passage
316,phrase
317,passage
318,phrase
319,phrase
320,passage
321,phrase
322,phrase
323,phrase
324,phrase
325,passage
326,phrase
327,passage
328,passage
329,passage
330,phrase
331,multi
332,passage
333,passage
334,phrase
335,phrase
336,passage
337,phrase
338,phrase
339,phrase
340,passage
341,passage
342,passage
343,passage
344,passage
345,phrase
346,phrase
347,phrase
348,phrase
349,passage
350,phrase
351,passage
352,passage
353,passage
354,passage
355,phrase
356,phrase
357,passage
358,phrase
359,phrase
360,phrase
361,passage
362,phrase
363,passage
364,phrase
365,multi
366,phrase
367,phrase
368,passage
369,passage
370,passage
371,phrase
372,passage
373,passage
374,passage
375,phrase
376,phrase
377,phrase
378,passage
379,phrase
380,phrase
381,passage
382,passage
383,passage
384,phrase
385,multi
386,phrase
387,phrase
388,passage
389,multi
390,multi
391,passage
392,passage
393,passage
394,passage
395,passage
396,phrase
397,phrase
398,passage
399,phrase
